detectorid,starttime,volume,speed,occupancy,status,dqflags
1347,9/15/2011 0:22:40,1,63,0,3,0
1347,9/15/2011 0:23:00,0,,0,0,0
1347,9/15/2011 0:23:20,2,56,2,2,0
1347,9/15/2011 0:23:40,1,67,1,2,0
1347,9/15/2011 0:24:00,0,,0,0,0
1347,9/15/2011 0:24:20,4,63,6,2,0
1347,9/15/2011 0:24:40,3,64,2,2,0
1347,9/15/2011 0:25:00,2,58,2,2,0
1347,9/15/2011 0:25:20,3,61,4,2,0
1347,9/15/2011 0:25:40,1,49,0,3,0
1347,9/15/2011 0:26:00,1,67,4,2,0
1347,9/15/2011 0:26:20,1,67,1,2,0
1347,9/15/2011 0:26:40,2,67,2,2,0
1347,9/15/2011 0:27:00,2,49,2,2,0
1347,9/15/2011 0:27:20,1,50,1,2,0
1347,9/15/2011 0:27:40,1,67,1,2,0
1347,9/15/2011 0:28:00,0,,0,0,0
1347,9/15/2011 0:28:20,2,57,11,2,0
1347,9/15/2011 0:28:40,2,50,5,2,0
1347,9/15/2011 0:29:00,3,64,6,2,0
1347,9/15/2011 0:29:20,1,49,1,2,0
1347,9/15/2011 0:29:40,0,,0,0,0
1347,9/15/2011 0:30:00,1,67,0,3,0
1347,9/15/2011 0:30:20,0,,0,0,0
1347,9/15/2011 0:30:40,0,,0,0,0
1347,9/15/2011 0:31:00,3,57,7,2,0
1347,9/15/2011 0:31:20,2,52,8,2,0
1347,9/15/2011 0:31:40,1,49,0,3,0
1347,9/15/2011 0:32:00,1,67,0,3,0
1347,9/15/2011 0:32:20,1,50,1,2,0
1347,9/15/2011 0:32:40,2,57,5,2,0
1347,9/15/2011 0:33:00,1,67,0,3,0
1347,9/15/2011 0:33:20,2,66,5,2,0
1347,9/15/2011 0:33:40,2,52,6,2,0
1347,9/15/2011 0:34:00,1,67,1,2,0
1347,9/15/2011 0:34:20,1,67,1,2,0
1347,9/15/2011 0:34:40,2,50,6,2,0
1347,9/15/2011 0:35:00,0,,0,0,0
1347,9/15/2011 0:35:20,1,63,1,2,0
1347,9/15/2011 0:35:40,1,67,1,2,0
1347,9/15/2011 0:36:00,1,67,1,2,0
1347,9/15/2011 0:36:20,1,67,4,2,0
1347,9/15/2011 0:36:40,0,,0,0,0
1347,9/15/2011 0:37:00,1,67,1,2,0
1347,9/15/2011 0:37:20,3,59,13,2,0
1347,9/15/2011 0:37:40,2,64,6,2,0
1347,9/15/2011 0:38:00,0,,0,0,0
1347,9/15/2011 0:38:20,1,67,1,2,0
1347,9/15/2011 0:38:40,2,58,6,2,0
1347,9/15/2011 0:39:00,1,103,0,3,4
1347,9/15/2011 0:39:20,1,67,0,3,0
1347,9/15/2011 0:39:40,0,,0,0,0
1347,9/15/2011 0:40:00,0,,0,0,0
1347,9/15/2011 0:40:20,1,67,1,2,0
1347,9/15/2011 0:40:40,1,49,1,2,0
1347,9/15/2011 0:41:00,2,62,2,2,0
1347,9/15/2011 0:41:20,1,63,0,3,0
1347,9/15/2011 0:41:40,2,63,2,2,0
1347,9/15/2011 0:42:00,1,49,0,3,0
1347,9/15/2011 0:42:20,0,,0,0,0
1347,9/15/2011 0:42:40,2,62,1,2,0
1347,9/15/2011 0:43:00,0,0,1,3,72
1347,9/15/2011 0:43:20,1,67,4,2,0
1347,9/15/2011 0:43:40,1,32,5,2,0
1347,9/15/2011 0:44:00,1,49,7,2,0
1347,9/15/2011 0:44:20,0,,0,0,0
1347,9/15/2011 0:44:40,1,49,0,3,0
1347,9/15/2011 0:45:00,2,67,8,2,0
1347,9/15/2011 0:45:20,0,,0,0,0
1347,9/15/2011 0:45:40,1,49,0,3,0
1347,9/15/2011 0:46:00,0,,0,0,0
